2.075 2227.61 37.5244
2.085 2189.1 36.5722
2.095 2186.58 33.829
2.105 2157.5 36.9521
2.115 2112.4 34.403
2.125 2058.11 32.3198
2.135 2041.7 32.6305
2.145 2003.66 31.5799
2.155 1982.19 30.5909
2.165 1994.95 33.0511
2.175 1968.5 31.5593
2.185 1925.01 32.4966
2.195 1927.18 35.9547
2.205 1951.78 42.2562
2.215 1975.35 44.4414
2.225 1917.21 36.3857
2.235 1911.54 33.7469
2.245 1924.71 51.9056
2.255 1824.21 29.228
2.265 1797.87 31.6693
2.275 1758.99 32.9336
2.285 1749.61 33.5637
2.295 1702.91 29.5775
2.305 1690.52 28.2221
2.315 1703.55 29.4581
2.325 1713.17 29.8439
2.335 1720.23 35.5348
2.345 1667.25 30.315
2.355 1667.1 30.1668
2.365 1626.21 28.8871
2.375 1650.2 42.0254
2.385 1593.88 31.5392
2.395 1591.37 31.3801
2.405 1590.2 29.6694
2.415 1572.77 28.212
2.425 1571.09 31.6315
2.435 1559.46 30.3795
2.445 1563.84 41.5578
2.455 1506.64 32.3273
2.465 1450.88 33.3693
2.475 1444.08 30.3787
2.485 1440.11 30.103
2.495 1440.66 32.3949
2.505 1451.14 37.2302
2.515 1420.07 29.9078
2.525 1437.79 30.2428
2.535 1434.03 31.3709
2.545 1443.28 33.1014
2.555 1407.12 31.0764
2.565 1411.68 29.3578
2.575 1409.42 33.3349
2.585 1409.19 34.6222
2.595 1390.7 29.1103
2.605 1370.27 32.5399
2.615 1363.02 32.1922
2.625 1364.05 31.5751
2.635 1351.66 29.8934
2.645 1370.61 29.3135
2.655 1382.43 29.1093
2.665 1391.12 28.6766
2.675 1402.54 28.0857
2.685 1370.09 30.8337
2.695 1395.98 34.3188
2.705 1364.98 31.0379
2.715 1333.42 29.9168
2.725 1292.43 28.7616
2.735 1302.23 29.1337
2.745 1309.6 33.3875
2.755 1329.56 34.5959
2.765 1325.42 36.6203
2.775 1328.56 35.601
2.785 1329.34 36.3179
2.795 1315.79 35.2058
2.805 1297.6 36.3967
2.815 1320.78 43.5896
2.825 1324.21 40.7974
2.835 1349.93 42.8645
2.845 1409.24 44.7032
2.855 1439.93 38.9383
2.865 1448.46 36.227
2.875 1456.15 39.3129
2.885 1469.88 44.8188
2.895 1441.17 44.4386
2.905 1454.67 42.0622
2.915 1497.03 43.9621
2.925 1542.87 43.9926
2.935 1530.4 47.3562
2.945 1576.33 50.9722
2.955 1578.81 52.7818
2.965 1602.74 55.3969
2.975 1667.61 53.2391
2.985 1796.78 52.8524
2.995 1892.1 65.1907
3.005 1823.3 63.3394
3.015 1890.62 73.5973
3.025 1909.5 73.3139
3.035 1848.07 67.7383
3.045 1846.35 59.3284
3.055 1655.97 64.7129
3.065 1591.09 68.4889
3.075 1461.56 59.7459
3.085 1325.31 60.1346
3.095 1187.67 66.1102
3.105 1148.77 66.8462
3.115 918.439 51.3088
3.125 774.65 53.3004
3.135 672.913 49.2164
3.145 573.889 44.4434
3.155 380.656 35.7332
3.165 281.857 33.1636
3.175 215.489 31.3361
3.185 141.739 23.9804
3.195 95.5159 16.6024
3.205 95.9478 19.2738
3.215 61.5392 17.6426
3.225 37.6526 10.627
3.235 43.7023 12.1591
3.245 25.3101 10.3615
3.255 12.7167 6.40809
3.265 0 0
3.275 0 0
3.285 0 0
3.295 0 0
3.305 0 0
3.315 0 0
3.325 0 0
3.335 0 0
3.345 0 0
3.355 0 0
3.365 0 0
3.375 0 0
3.385 0 0
3.395 0 0
3.405 0 0
3.415 0 0
3.425 0 0
3.435 0 0
3.445 0 0
3.455 0 0
3.465 0 0
3.475 0 0
3.485 0 0
3.495 0 0
3.505 0 0
3.515 0 0
3.525 0 0
3.535 0 0
3.545 0 0
3.555 0 0
3.565 0 0
3.575 0 0
3.585 0 0
3.595 0 0
3.605 0 0
3.615 0 0
3.625 0 0
3.635 0 0
3.645 0 0
3.655 0 0
3.665 0 0
3.675 0 0
3.685 0 0
3.695 0 0
3.705 0 0
3.715 0 0
3.725 0 0
3.735 0 0
3.745 0 0
3.755 0 0
3.765 0 0
3.775 0 0
3.785 0 0
3.795 0 0
3.805 0 0
3.815 0 0
3.825 0 0
3.835 0 0
3.845 0 0
3.855 0 0
3.865 0 0
3.875 0 0
3.885 0 0
3.895 0 0
3.905 0 0
3.915 0 0
3.925 0 0
3.935 0 0
3.945 0 0
3.955 0 0
3.965 0 0
3.975 0 0
3.985 0 0
3.995 0 0
